"Step","stage2 - train_loss","stage2 - train_loss__MIN","stage2 - train_loss__MAX"
"2754","0.6719518303871155","0.6719518303871155","0.6719518303871155"
"5510","0.4144149124622345","0.4144149124622345","0.4144149124622345"
"8265","0.40360817313194275","0.40360817313194275","0.40360817313194275"
"11020","0.40183985233306885","0.40183985233306885","0.40183985233306885"
"13775","0.396080881357193","0.396080881357193","0.396080881357193"
"16531","0.39140477776527405","0.39140477776527405","0.39140477776527405"
"19286","0.39026474952697754","0.39026474952697754","0.39026474952697754"
"22041","0.39100155234336853","0.39100155234336853","0.39100155234336853"
"24796","0.38942018151283264","0.38942018151283264","0.38942018151283264"
"27551","0.3872944712638855","0.3872944712638855","0.3872944712638855"
"30307","0.3865092098712921","0.3865092098712921","0.3865092098712921"
"33062","0.38470906019210815","0.38470906019210815","0.38470906019210815"
"35817","0.38442251086235046","0.38442251086235046","0.38442251086235046"
"38572","0.383939653635025","0.383939653635025","0.383939653635025"
"41327","0.3803738057613373","0.3803738057613373","0.3803738057613373"
"44083","0.3773060441017151","0.3773060441017151","0.3773060441017151"
"46838","0.3808457553386688","0.3808457553386688","0.3808457553386688"
"49593","0.37994879484176636","0.37994879484176636","0.37994879484176636"
"52348","0.37674960494041443","0.37674960494041443","0.37674960494041443"
"55103","0.3775571286678314","0.3775571286678314","0.3775571286678314"
"57859","0.3759354054927826","0.3759354054927826","0.3759354054927826"
"60614","0.37704193592071533","0.37704193592071533","0.37704193592071533"
"63369","0.37717315554618835","0.37717315554618835","0.37717315554618835"
"66124","0.3749311566352844","0.3749311566352844","0.3749311566352844"
"68879","0.372085303068161","0.372085303068161","0.372085303068161"
"71635","0.3744410574436188","0.3744410574436188","0.3744410574436188"
"74390","0.3704527020454407","0.3704527020454407","0.3704527020454407"
"77145","0.36874523758888245","0.36874523758888245","0.36874523758888245"
"79900","0.36655092239379883","0.36655092239379883","0.36655092239379883"
"82655","0.36978670954704285","0.36978670954704285","0.36978670954704285"
"85411","0.3719068765640259","0.3719068765640259","0.3719068765640259"
"88166","0.36708104610443115","0.36708104610443115","0.36708104610443115"
"90921","0.36749616265296936","0.36749616265296936","0.36749616265296936"
"93676","0.37109169363975525","0.37109169363975525","0.37109169363975525"
"96431","0.36611878871917725","0.36611878871917725","0.36611878871917725"
"99187","0.36455047130584717","0.36455047130584717","0.36455047130584717"
"101942","0.36697015166282654","0.36697015166282654","0.36697015166282654"
"104697","0.3644315004348755","0.3644315004348755","0.3644315004348755"
"107452","0.3652341663837433","0.3652341663837433","0.3652341663837433"
"110207","0.3639783263206482","0.3639783263206482","0.3639783263206482"
"112963","0.3593873083591461","0.3593873083591461","0.3593873083591461"
"115718","0.3665182888507843","0.3665182888507843","0.3665182888507843"
"118473","0.3610319197177887","0.3610319197177887","0.3610319197177887"
"121228","0.36069533228874207","0.36069533228874207","0.36069533228874207"
"123983","0.3607846796512604","0.3607846796512604","0.3607846796512604"
"126739","0.3603511154651642","0.3603511154651642","0.3603511154651642"
"129494","0.35903114080429077","0.35903114080429077","0.35903114080429077"
"132249","0.35707035660743713","0.35707035660743713","0.35707035660743713"
"135004","0.3591803014278412","0.3591803014278412","0.3591803014278412"
"137759","0.35667306184768677","0.35667306184768677","0.35667306184768677"
